method,title,composer,score,relevance
combination,Το Βαλς Των Χαμένων Ονείρων,unknown,6.46,1
combination,Symphany No 5 In C Minor 1St Mvmt,beethoven,4.45,1
combination,Title,composer,2.08,0
combination,Howl'S Moving Castle,joe hisaishi,2.07,1
combination,Undertale,toby fox,2.05,0
combination,O Come All Ye Faithful,traditional,2.03,1
combination,Era De Maggio,p m costa,2.02,1
combination,I Will Always Think Of You,unknown,1.99,1
combination,Veronika. Der Lens Ist Da,walter jurmann comedian harmonists,1.98,0
combination,If I Were A Rich Man,jerry bock,1.95,0
melody,Symphany No 5 In C Minor 1St Mvmt,beethoven, 1.40,1
melody,Title,composer, 1.40,0
melody,Howl'S Moving Castle,joe hisaishi, 1.40,1
melody,Undertale,toby fox, 1.40,0
melody,O Come All Ye Faithful,traditional,1.34,1
melody,Era De Maggio,p m costa,1.33,1
melody,I Will Always Think Of You,unknown,1.32,1
melody,Veronika. Der Lens Ist Da,walter jurmann comedian harmonists,1.29,0
melody,If I Were A Rich Man,jerry bock,1.29,0
melody,Merry Go Round Of Life,joe hisaishi,1.28,0
rhythm,Jorpo,moiss molerio,0.02,0
rhythm,Harmony Club Waltz,scott joplin,0.02,0
rhythm,Το Βαλς Των Χαμένων Ονείρων,unknown,0.02,1
rhythm,Violin Partita No, johann sebastian bach,0.02,1
rhythm,Title,composer,0.02,0
rhythm,Turkish March,wolfgang amadeus mozart,0.02,0
rhythm,Anxiété,pomme,0.02,0
rhythm,Symphany No 5 In C Minor 1St Mvmt,beethoven,0.02,1
rhythm,Focus,chipzel,0.02,0
rhythm,The Armstrongs - First Man,justin hurwitz,0.02,0

