method,title,composer,score,relevance
combination,Sympony No 5 In C Minor 1St Mvmt,beethoven,14.37,1
combination,Symphany No,van beethoven,3.40,1
combination,Symphonie No. 51.1 Trauermarsch.,gustav mahler,3.25,1
combination,Água De Beber,tom jobim,3.14,0
combination,Dies Irae Piano, w a mozart, 2.63,0 
combination,Morning Prayer, p i tchaikovsky, 2.43,1
combination,Марш "Вступление Красной Армии В Будапешт" ('붉은 군대의 부다페스트 입성' 행진곡),unknown, 2.31,1
combination,Mr,elo,2.28,1
combination,Music Of Middle Earth,furrow,1.4,1
combination,Flourish For Wind Band,ralph vaughan williams,1.37,0
melody,Symphany No 5 In C Minor 1St Mvmt,beethoven,2.23,1
melody,Symphony No,van beethoven,2.06,1
melody,Symphonie No. 51.1 Trauermarsch.,gustav mahler,1.96,1
melody,Água De Beber,tom jobim,1.89,0
melody,Dies Irae Piano, w a mozart, 1.56,0
melody,Morning Prayer, p i tchaikovsky, 1.42,1
melody,Марш "Вступление Красной Армии В Будапешт" ('붉은 군대의 부다페스트 입성' 행진곡),unknown, 1.35,1
melody,Mr,elo,1.33,1
melody,Flourish For Wind Band,ralph vaughan williams,0.85,0
melody,Music Of Middle Earth,furrow,0.75,1
rhythm,Title,composer,0.32,0
rhythm,Stright No Chaser (Cannonball),unknown,0.32,0
rhythm,You And Me (Meute Version),unknown,0.32,0
rhythm,Stright No Chaser (Cannonball),unknown,0.32,0
rhythm,Symphany No,beethoven,0.31,1
rhythm,Mary Did You Know,arr ethan snyder,0.31,0
rhythm,The Dark Crystal,comp trevor jones trans josh sommer,0.31,0
rhythm,Six Cello Suites, johann sebastian bach,0.31,0
rhythm,Symphony No,van beethoven,0.31,1
rhythm,Introduction,dinioso aguado,0
 
